IGD|Pro-B_cells
HLA-DQB1|Pro-B_cells
VPREB3|Pro-B_cells
TCL1A|Pro-B_cells
CD99|Pro-B_cells
C10ORF10|Pro-B_cells
ARPP21|Pro-B_cells
HLA-DQA1|Pro-B_cells
DNTT|Pro-B_cells
IGLL1|Pro-B_cells
VPREB1|Pro-B_cells
CD38|Pro-B_cells
CD27|Pro-B_cells
CD24|Pro-B_cells
CD79B|Pro-B_cells
IGLL5|Pro-B_cells
CD79A|Pro-B_cells
CD9|Pro-B_cells
PAX5|Pro-B_cells
PTPRC|Pro-B_cells
CD27|Pre-B_cells
CD24|Pre-B_cells
VPREB3|Pre-B_cells
IGD|Pre-B_cells
CD79B|Pre-B_cells
PCDH9|Pre-B_cells
IGLL5|Pre-B_cells
CD19|Pre-B_cells
CD79A|Pre-B_cells
HLA-DQA1|Pre-B_cells
NSMCE1|Pre-B_cells
ACSM3|Pre-B_cells
HLA-DQB1|Pre-B_cells
PAX5|Pre-B_cells
PTPRC|Pre-B_cells
CCDC191|Pre-B_cells
TCL1A|Pre-B_cells
CD38|Pre-B_cells
IGD|Naive_B_cells
HLA-DQB1|Naive_B_cells
VPREB3|Naive_B_cells
TCL1A|Naive_B_cells
DERL3|Naive_B_cells
JCHAIN|Naive_B_cells
MS4A1|Naive_B_cells
SEC11C|Naive_B_cells
HLA-DQA1|Naive_B_cells
CD19|Naive_B_cells
CD20|Naive_B_cells
CD38|Naive_B_cells
CD138|Naive_B_cells
CD24|Naive_B_cells
FKBP11|Naive_B_cells
CD79B|Naive_B_cells
IGLL5|Naive_B_cells
CD79A|Naive_B_cells
PRDX4|Naive_B_cells
PAX5|Naive_B_cells
SSR4|Naive_B_cells
PTPRC|Naive_B_cells
IGD|Memory_B_cells
HLA-DQB1|Memory_B_cells
VPREB3|Memory_B_cells
TCL1A|Memory_B_cells
DERL3|Memory_B_cells
JCHAIN|Memory_B_cells
MS4A1|Memory_B_cells
SEC11C|Memory_B_cells
HLA-DQA1|Memory_B_cells
CD19|Memory_B_cells
CD20|Memory_B_cells
CD38|Memory_B_cells
CD27|Memory_B_cells
CD138|Memory_B_cells
CD24|Memory_B_cells
FKBP11|Memory_B_cells
CD79B|Memory_B_cells
IGLL5|Memory_B_cells
CD79A|Memory_B_cells
PRDX4|Memory_B_cells
PAX5|Memory_B_cells
SSR4|Memory_B_cells
PTPRC|Memory_B_cells
IGD|Plasma_B_cells
HLA-DQB1|Plasma_B_cells
VPREB3|Plasma_B_cells
TCL1A|Plasma_B_cells
DERL3|Plasma_B_cells
JCHAIN|Plasma_B_cells
MS4A1|Plasma_B_cells
SEC11C|Plasma_B_cells
HLA-DQA1|Plasma_B_cells
CD20|Plasma_B_cells
CD38|Plasma_B_cells
CD27|Plasma_B_cells
CD138|Plasma_B_cells
CD24|Plasma_B_cells
FKBP11|Plasma_B_cells
CD79B|Plasma_B_cells
IGLL5|Plasma_B_cells
CD79A|Plasma_B_cells
PRDX4|Plasma_B_cells
PAX5|Plasma_B_cells
SSR4|Plasma_B_cells
PTPRC|Plasma_B_cells
CD30|Naive_CD8+_T_cells
THY1|Naive_CD8+_T_cells
CD45RA|Naive_CD8+_T_cells
CD3Z|Naive_CD8+_T_cells
CCR7|Naive_CD8+_T_cells
FOXP3|Naive_CD8+_T_cells
TRBC2|Naive_CD8+_T_cells
TRAC|Naive_CD8+_T_cells
IL2RA|Naive_CD8+_T_cells
CD8|Naive_CD8+_T_cells
LCK|Naive_CD8+_T_cells
CD8A|Naive_CD8+_T_cells
CD8B|Naive_CD8+_T_cells
CD69|Naive_CD8+_T_cells
CD3G|Naive_CD8+_T_cells
CD6|Naive_CD8+_T_cells
SHISA5|Naive_CD8+_T_cells
DAPL1|Naive_CD8+_T_cells
CD11B|Naive_CD8+_T_cells
CD45|Naive_CD8+_T_cells
GNLY|Naive_CD8+_T_cells
CD52|Naive_CD8+_T_cells
CD95|Naive_CD8+_T_cells
CD2|Naive_CD8+_T_cells
CD3E|Naive_CD8+_T_cells
CD3D|Naive_CD8+_T_cells
CD27|Naive_CD8+_T_cells
CD127|Naive_CD8+_T_cells
CD25|Naive_CD8+_T_cells
CCR6|Naive_CD8+_T_cells
HLA-DRA|Naive_CD8+_T_cells
CTLA4|Naive_CD8+_T_cells
LTB|Naive_CD8+_T_cells
SELL|Naive_CD8+_T_cells
CD44|Naive_CD8+_T_cells
CD62L|Naive_CD8+_T_cells
PTPRC|Naive_CD8+_T_cells
GZMB|Naive_CD8+_T_cells
CD30|Naive_CD4+_T_cells
THY1|Naive_CD4+_T_cells
CD45RA|Naive_CD4+_T_cells
